first_pokemon,second_pokemon,winner
Shellder,Mow Rotom,Mow Rotom
Watchog,Meloetta Aria Forme,Meloetta Aria Forme
Mega Abomasnow,Gastly,Mega Abomasnow
Piloswine,Dodrio,Dodrio
Vanilluxe,Cherubi,Vanilluxe
Magnemite,Shellos,Magnemite
Infernape,Mega Swampert,Infernape
Mega Kangaskhan,Pikachu,Mega Kangaskhan
Liepard,Dunsparce,Liepard
Mega Sharpedo,Mega Abomasnow,Mega Abomasnow
Swanna,Clefable,Swanna
Emboar,Ninjask,Ninjask
Keldeo Resolute Forme,Volbeat,Keldeo Resolute Forme
Horsea,Scrafty,Horsea
Combusken,Crobat,Crobat
Venipede,Staryu,Staryu
Tepig,Pansear,Pansear
Beldum,Pineco,Beldum
Mr. Mime,Ledian,Mr. Mime
Mega Audino,Meowstic Female,Meowstic Female
Landorus Incarnate Forme,Magby,Landorus Incarnate Forme
Lickilicky,Seismitoad,Seismitoad
Simipour,Dusknoir,Simipour
Mega Abomasnow,Jumpluff,Mega Abomasnow
Tyranitar,Burmy,Tyranitar
Zoroark,Cubone,Zoroark
Zangoose,Haunter,Haunter
Solrock,Golduck,Golduck
Houndoom,Manectric,Manectric
Tyrogue,Arbok,Arbok
Vullaby,Timburr,Vullaby
Koffing,Sharpedo,Sharpedo
Misdreavus,Arbok,Misdreavus
Azelf,Giratina Altered Forme,Azelf
Tynamo,Mega Blastoise,Mega Blastoise
Cascoon,Paras,Paras
Rhyhorn,Tyrogue,Tyrogue
Hoothoot,Shieldon,Hoothoot
Flareon,Volbeat,Volbeat
Heatmor,Poliwrath,Poliwrath
Cresselia,Chespin,Cresselia
Dodrio,Flabébé,Dodrio
Tynamo,Mega Glalie,Mega Glalie
Swalot,Drilbur,Drilbur
Dunsparce,Stoutland,Stoutland
Sharpedo,Primal Groudon,Sharpedo
Mew,Pignite,Mew
Gloom,Gardevoir,Gardevoir
Vibrava,Meloetta Aria Forme,Meloetta Aria Forme
Snubbull,Mantyke,Snubbull
Ivysaur,Gurdurr,Ivysaur
Gloom,Jynx,Jynx
Wormadam Plant Cloak,Exeggcute,Exeggcute
Elgyem,Grimer,Elgyem
Magby,Slowking,Slowking
Anorith,Durant,Durant
Munchlax,Bronzor,Munchlax
Shroomish,Kabutops,Kabutops
Sharpedo,Klinklang,Sharpedo
Rhyperior,Staryu,Rhyperior
Pumpkaboo Large Size,Mienfoo,Pumpkaboo Large Size
Joltik,Mega Camerupt,Mega Camerupt
Manaphy,Gastly,Manaphy
Mothim,Braviary,Braviary
Exeggutor,Pachirisu,Pachirisu
Lickitung,Lunatone,Lunatone
Manaphy,Venonat,Manaphy
Mismagius,Timburr,Mismagius
Riolu,Mega Blaziken,Mega Blaziken
Heliolisk,Audino,Heliolisk
Cryogonal,Weedle,Cryogonal
Phanpy,Elekid,Phanpy
Parasect,Garchomp,Garchomp
Espurr,Garchomp,Garchomp
Buneary,Braixen,Buneary
Kirlia,Magcargo,Kirlia
Linoone,Gliscor,Linoone
Aegislash Blade Forme,Jigglypuff,Aegislash Blade Forme
Beautifly,Shellos,Beautifly
Aerodactyl,Skitty,Aerodactyl
Gothitelle,Spinda,Gothitelle
Venipede,Mega Heracross,Mega Heracross
Beedrill,Seviper,Beedrill
Porygon-Z,Hoppip,Porygon-Z
Seaking,Deino,Seaking
Slowking,Chespin,Chespin
Electivire,Koffing,Electivire
Seadra,Zigzagoon,Seadra
Pignite,Murkrow,Murkrow
Dragalge,Slowpoke,Dragalge
Serperior,Hippowdon,Serperior
Marshtomp,Whirlipede,Marshtomp
Mega Gardevoir,Porygon,Mega Gardevoir
Primal Groudon,Dusclops,Primal Groudon
Sandile,Fletchinder,Fletchinder
Banette,Breloom,Breloom
Lapras,Hitmonchan,Hitmonchan
Mega Manectric,Tyranitar,Mega Manectric
Caterpie,Dragonite,Dragonite
Liepard,Gible,Liepard
Manaphy,Seadra,Manaphy
Skuntank,Espeon,Espeon
Gliscor,Dunsparce,Gliscor
Sealeo,Omastar,Omastar
Crawdaunt,Smeargle,Smeargle
Flabébé,Sentret,Flabébé
Hitmonchan,Chatot,Chatot
Ivysaur,Mega Absol,Mega Absol
Seviper,Toxicroak,Toxicroak
Swampert,Stantler,Stantler
Giratina Altered Forme,Corsola,Giratina Altered Forme
Oddish,Tyranitar,Tyranitar
Leafeon,Furret,Leafeon
Volcarona,Mega Steelix,Mega Steelix
Dratini,Mega Glalie,Mega Glalie
Pidove,Vullaby,Vullaby
Mega Medicham,Garchomp,Garchomp
Pachirisu,Fan Rotom,Pachirisu
Tyrantrum,Flabébé,Tyrantrum
Dialga,Mega Heracross,Dialga
Mothim,Elekid,Elekid
Purrloin,Diancie,Purrloin
Eevee,Flareon,Flareon
Gardevoir,Silcoon,Gardevoir
Unfezant,Manaphy,Manaphy
Geodude,Kadabra,Geodude
Noctowl,Tangrowth,Noctowl
Jolteon,Archeops,Jolteon
Grovyle,Wingull,Grovyle
Scraggy,Ho-oh,Ho-oh
Litwick,Whismur,Whismur
Heat Rotom,Aromatisse,Heat Rotom
Bonsly,Gallade,Gallade
Kecleon,Dratini,Dratini
Oddish,Gothita,Gothita
Xerneas,Barboach,Xerneas
Dodrio,Mega Lopunny,Mega Lopunny
Simisage,Numel,Simisage
Kyogre,Mr. Mime,Mr. Mime
Ludicolo,Throh,Ludicolo
Sylveon,Azurill,Sylveon
Kecleon,Azurill,Kecleon
Glaceon,Magmortar,Magmortar
Dusclops,Meowstic Male,Meowstic Male
Larvesta,Shellder,Larvesta
Ambipom,Lombre,Ambipom
Elgyem,Mega Diancie,Mega Diancie
Swanna,Crustle,Swanna
Luxio,Cobalion,Cobalion
Zebstrika,Luxio,Zebstrika
Houndour,Charizard,Charizard
Krookodile,Gothitelle,Krookodile
Metapod,Spinarak,Spinarak
Yamask,Poliwrath,Poliwrath
Mudkip,Meloetta Aria Forme,Meloetta Aria Forme
Chikorita,Skrelp,Chikorita
Articuno,Gyarados,Articuno
Feraligatr,Hydreigon,Hydreigon
Noibat,Rapidash,Rapidash
Venonat,Murkrow,Murkrow
Gloom,Luvdisc,Gloom
Boldore,Combee,Boldore
Cubchoo,Volbeat,Volbeat
Seviper,Chimecho,Chimecho
Arbok,Bellossom,Arbok
Luvdisc,Huntail,Huntail
Carracosta,Totodile,Totodile
Chandelure,Wynaut,Chandelure
Spinda,Joltik,Joltik
Lickitung,Reshiram,Reshiram
Frillish,Mega Mewtwo X,Frillish
Slowpoke,Claydol,Slowpoke
Volcarona,Cranidos,Volcarona
Prinplup,Darumaka,Darumaka
Luvdisc,Palkia,Palkia
Venipede,Mega Gyarados,Mega Gyarados
Shuckle,Yanma,Yanma
Empoleon,Mega Medicham,Mega Medicham
Hitmonchan,Avalugg,Hitmonchan
Kirlia,Aegislash Shield Forme,Aegislash Shield Forme
Nidoking,Snubbull,Nidoking
Magnezone,Swadloon,Magnezone
Archeops,Machoke,Archeops
Unown,Archen,Archen
Miltank,Mega Pidgeot,Mega Pidgeot
Krokorok,Igglybuff,Krokorok
Palpitoad,Shuppet,Palpitoad
Snivy,Mienshao,Mienshao
Mega Mewtwo Y,Lickilicky,Mega Mewtwo Y
Heliolisk,Wynaut,Heliolisk
Gabite,Lileep,Gabite
Manectric,Wormadam Sandy Cloak,Manectric
Zubat,Kyurem,Kyurem
Dwebble,Luxray,Luxray
Drowzee,Throh,Throh
Mandibuzz,Horsea,Mandibuzz
Machoke,Heatmor,Heatmor
Jigglypuff,Nincada,Nincada
Tympole,Aurorus,Tympole
Conkeldurr,Chimecho,Chimecho
Gengar,Venonat,Gengar
Gogoat,Eelektross,Gogoat
Volbeat,Bagon,Volbeat
Infernape,Venipede,Infernape
Exeggcute,Lotad,Exeggcute
Cherubi,Minun,Minun
Mega Gallade,Yveltal,Yveltal
Weavile,Wormadam Trash Cloak,Weavile
Groudon,Venipede,Groudon
Milotic,Fan Rotom,Fan Rotom
Diglett,Zygarde Half Forme,Zygarde Half Forme
Cascoon,Skarmory,Skarmory
Timburr,Lairon,Lairon
Wailord,Hydreigon,Hydreigon
Togekiss,Crobat,Crobat
Croagunk,Rayquaza,Rayquaza
Pidgey,Swadloon,Pidgey
Volbeat,Scrafty,Volbeat
Steelix,Qwilfish,Qwilfish
Dratini,Camerupt,Dratini
Chatot,Mega Pidgeot,Mega Pidgeot
Zapdos,Grovyle,Zapdos
Kyurem White Kyurem,Aron,Kyurem White Kyurem
Mega Metagross,Electivire,Mega Metagross
Gyarados,Uxie,Uxie
Kyurem White Kyurem,Wobbuffet,Kyurem White Kyurem
Treecko,Helioptile,Helioptile
Muk,Terrakion,Terrakion
Leavanny,Budew,Leavanny
Magnezone,Duosion,Magnezone
Palkia,Darumaka,Palkia
63,Spheal,63
Beartic,Mega Gyarados,Mega Gyarados
Grovyle,Darumaka,Darumaka
Noivern,Lucario,Noivern
Gigalith,Aegislash Blade Forme,Aegislash Blade Forme
Mega Garchomp,Happiny,Mega Garchomp
Mega Blaziken,Golem,Mega Blaziken
Beautifly,Venonat,Beautifly
Machop,Regirock,Regirock
Froslass,Ferroseed,Froslass
Mega Scizor,Haxorus,Haxorus
Rampardos,Froslass,Froslass
Klang,Feebas,Klang
Vespiquen,Aegislash Blade Forme,Aegislash Blade Forme
Simisage,Gengar,Gengar
Umbreon,Heracross,Heracross
Audino,Gastly,Gastly
Shellos,Smoochum,Smoochum
Quilladin,Octillery,Quilladin
Armaldo,Pumpkaboo Large Size,Pumpkaboo Large Size
Articuno,Mamoswine,Articuno
Bulbasaur,Bisharp,Bisharp
Baltoy,Swellow,Swellow
Eelektrik,Herdier,Herdier
Avalugg,Kangaskhan,Kangaskhan
Torkoal,Chimchar,Chimchar
Keldeo Resolute Forme,Starly,Keldeo Resolute Forme
Regirock,Talonflame,Regirock
Misdreavus,Flaaffy,Misdreavus
Togekiss,Cobalion,Cobalion
Togetic,Hitmonchan,Hitmonchan
Granbull,Pansear,Pansear
Golem,Gogoat,Gogoat
Klink,Altaria,Altaria
Tyrunt,Metapod,Tyrunt
Herdier,Unown,Herdier
Mega Sceptile,Dwebble,Mega Sceptile
Solrock,Pikachu,Pikachu
Mewtwo,Shellos,Mewtwo
Zweilous,Simipour,Simipour
Mewtwo,Mr. Mime,Mewtwo
Munchlax,Loudred,Munchlax
Beartic,Krookodile,Krookodile
Mega Mewtwo X,Gyarados,Mega Mewtwo X
Solosis,Dewott,Dewott
Mega Pinsir,Mega Heracross,Mega Pinsir
Swampert,Metagross,Metagross
Granbull,Raichu,Raichu
  Scolipede  ,Trapinch,  Scolipede  
Deoxys Normal Forme,Crawdaunt,Deoxys Normal Forme
Mightyena,Pidgey,Mightyena
Volcanion,Kyogre,Kyogre
Lucario,Marill,Lucario
Murkrow,Anorith,Murkrow
Accelgor,Seel,Accelgor
Swadloon,Omanyte,Swadloon
Mewtwo,Cubchoo,Mewtwo
Golett,Floatzel,Floatzel
Zangoose,Baltoy,Zangoose
Pinsir,Kabutops,Pinsir
Pangoro,Houndoom,Houndoom
Swampert,Medicham,Medicham
Marshtomp,Linoone,Linoone
Landorus Therian Forme,Vanilluxe,Landorus Therian Forme
Kyurem White Kyurem,Kingdra,Kyurem White Kyurem
Frillish,Diglett,Diglett
Bulbasaur,Serperior,Serperior
Heatran,Dragalge,Heatran
Staryu,Plusle,Plusle
Arcanine,Glaceon,Arcanine
Feraligatr,Samurott,Feraligatr
Articuno,Rattata,Articuno
Surskit,Electrode,Electrode
Krabby,Umbreon,Umbreon
Omanyte,Meloetta Pirouette Forme,Meloetta Pirouette Forme
Charmander,Lickitung,Charmander
Totodile,Simipour,Simipour
Ludicolo,Metang,Ludicolo
Honedge,Mienshao,Mienshao
Poochyena,Ninetales,Ninetales
Garchomp,Castform,Garchomp
Pikachu,Mandibuzz,Pikachu
Joltik,Clamperl,Joltik
Stunky,Shelmet,Stunky
Barboach,Cottonee,Cottonee
Spewpa,Delphox,Delphox
Tyranitar,Empoleon,Tyranitar
Natu,Pidgey,Natu
Mankey,Simipour,Simipour
Seviper,Kricketot,Seviper
Illumise,Azurill,Illumise
Shiftry,Mega Salamence,Mega Salamence
Rufflet,Pinsir,Pinsir
Rayquaza,Golem,Rayquaza
Mega Venusaur,Mega Gardevoir,Mega Gardevoir
Venonat,Wormadam Sandy Cloak,Venonat
Meloetta Pirouette Forme,Furret,Meloetta Pirouette Forme
Koffing,Floette,Floette
Mega Sharpedo,Mega Venusaur,Mega Sharpedo
Skitty,Shiftry,Shiftry
Sableye,Luvdisc,Luvdisc
Spiritomb,Ducklett,Ducklett
Clauncher,Chatot,Chatot
Durant,Watchog,Durant
Marill,Shuckle,Marill
Butterfree,Venomoth,Venomoth
Luxray,Seismitoad,Seismitoad
Paras,Charmeleon,Charmeleon
Gourgeist Super Size,Jirachi,Jirachi
Skuntank,Luxray,Skuntank
Haunter,Electivire,Electivire
Mega Houndoom,Mega Diancie,Mega Houndoom
Lampent,Starmie,Starmie
Keldeo Resolute Forme,Machop,Keldeo Resolute Forme
Bergmite,Snorlax,Snorlax
Mega Sharpedo,Honedge,Mega Sharpedo
Shaymin Land Forme,Hawlucha,Hawlucha
Zangoose,Illumise,Zangoose
Heracross,Relicanth,Heracross
Mega Latios,Snorlax,Mega Latios
Mega Gengar,Pachirisu,Mega Gengar
Unfezant,Shiftry,Unfezant
Pancham,Mega Latios,Mega Latios
Quilava,Rampardos,Rampardos
Mega Gyarados,Dewott,Mega Gyarados
Alomomola,Nidoqueen,Nidoqueen
Stunfisk,Chesnaught,Chesnaught
Flygon,Mega Gallade,Mega Gallade
Roserade,Oshawott,Roserade
Illumise,Totodile,Illumise
Porygon-Z,Terrakion,Terrakion
Mamoswine,Geodude,Mamoswine
Swablu,Delibird,Delibird
Lombre,Silcoon,Lombre
Mega Gardevoir,Cubone,Mega Gardevoir
Conkeldurr,Walrein,Walrein
Manaphy,Sawk,Manaphy
Octillery,Mega Ampharos,Mega Ampharos
Tornadus Incarnate Forme,Rayquaza,Tornadus Incarnate Forme
Woobat,Wormadam Trash Cloak,Wormadam Trash Cloak
Graveler,Combusken,Combusken
Zebstrika,Giratina Altered Forme,Zebstrika
Latios,Mega Absol,Mega Absol
Starmie,Weavile,Weavile
Crawdaunt,Toxicroak,Toxicroak
Yanma,Hitmonlee,Yanma
Slowking,Sewaddle,Sewaddle
Drapion,Klang,Klang
Articuno,Tentacool,Articuno
Mega Ampharos,Hoopa Unbound,Hoopa Unbound
Hippowdon,Braviary,Braviary
Flareon,Hypno,Hypno
Chandelure,Genesect,Genesect
Solosis,Combusken,Combusken
Mega Aggron,Klefki,Klefki
Quagsire,Garchomp,Garchomp
Barbaracle,Snorunt,Barbaracle
Watchog,Darmanitan Standard Mode,Darmanitan Standard Mode
Meloetta Aria Forme,Ludicolo,Meloetta Aria Forme
Mega Venusaur,Yveltal,Yveltal
Gourgeist Average Size,Wobbuffet,Gourgeist Average Size
Bidoof,Clawitzer,Clawitzer
Shedinja,Gengar,Gengar
Blissey,Gourgeist Large Size,Gourgeist Large Size
Ivysaur,Thundurus Incarnate Forme,Thundurus Incarnate Forme
Mega Salamence,Yanma,Mega Salamence
Palpitoad,Mienshao,Mienshao
Pyroar,Terrakion,Terrakion
Kirlia,Dratini,Dratini
Gothitelle,Shroomish,Gothitelle
63,Jirachi,Jirachi
Beartic,Numel,Beartic
Cranidos,Venomoth,Venomoth
Dusclops,Piplup,Piplup
Nincada,Hitmonlee,Hitmonlee
Cacturne,Wingull,Cacturne
Mega Diancie,Cubone,Mega Diancie
Weavile,Dragonite,Weavile
Mareep,Clauncher,Clauncher
Squirtle,Zapdos,Zapdos
Aromatisse,  Grotle  ,  Grotle  
Mega Scizor,Golduck,Golduck
Mandibuzz,Quagsire,Mandibuzz
Swinub,Clefairy,Swinub
Staryu,Snubbull,Snubbull
Stantler,Articuno,Articuno
Cubchoo,Beldum,Cubchoo
Pelipper,Purrloin,Purrloin
Wormadam Trash Cloak,Samurott,Samurott
Herdier,Flygon,Flygon
Cresselia,Cubchoo,Cresselia
Crobat,Parasect,Crobat
Gloom,Mothim,Mothim
Galvantula,Snubbull,Galvantula
Ludicolo,Mega Medicham,Mega Medicham
Deoxys Defense Forme,Meganium,Deoxys Defense Forme
Tepig,Jirachi,Jirachi
Bastiodon,Larvitar,Larvitar
Alakazam,Ampharos,Alakazam
Frillish,Vivillon,Vivillon
Onix,Togepi,Onix
Bonsly,Baltoy,Baltoy
Heatran,Garbodor,Heatran
Binacle,Kadabra,Kadabra
Mega Alakazam,Spinarak,Mega Alakazam
Mega Altaria,Kangaskhan,Kangaskhan
Piplup,Glaceon,Glaceon
Zygarde Half Forme,Cacturne,Zygarde Half Forme
Krabby,Kyurem,Kyurem
Smeargle,Nuzleaf,Smeargle
Poliwrath,Scraggy,Poliwrath
Mantine,Barboach,Mantine
Volcanion,Sentret,Volcanion
Lucario,Jynx,Jynx
Abra,Zangoose,Zangoose
Mega Gengar,Armaldo,Mega Gengar
Ekans,Unown,Ekans
Deino,Spinda,Spinda
Arcanine,Primal Groudon,Arcanine
Mega Kangaskhan,Misdreavus,Misdreavus
Ambipom,Shieldon,Ambipom
Altaria,Entei,Entei
Mega Aggron,Pupitar,Pupitar
Mega Mewtwo Y,Bronzong,Mega Mewtwo Y
Prinplup,Groudon,Groudon
Altaria,Reshiram,Reshiram
Aggron,Forretress,Aggron
Kyurem,Croconaw,Kyurem
Frogadier,Goomy,Frogadier
Mega Mewtwo X,Articuno,Mega Mewtwo X
Mismagius,Slowbro,Mismagius
Petilil,Serperior,Serperior
Groudon,Mega Manectric,Groudon
Barbaracle,Clawitzer,Barbaracle
Shelmet,Barboach,Barboach
Mega Sableye,Nidorino,Nidorino
Kingdra,Mandibuzz,Kingdra
Duskull,Politoed,Politoed
Noibat,Sylveon,Sylveon
Cinccino,Hydreigon,Cinccino
Drapion,Cottonee,Drapion
Monferno,Charmander,Monferno
Volbeat,Shinx,Volbeat
Primal Kyogre,Gyarados,Primal Kyogre
Tornadus Incarnate Forme,Cloyster,Tornadus Incarnate Forme
Pignite,Mega Blaziken,Mega Blaziken
Rotom,Mega Manectric,Mega Manectric
Cacturne,Helioptile,Helioptile
Excadrill,Gyarados,Excadrill
Delcatty,Meloetta Pirouette Forme,Meloetta Pirouette Forme
Wurmple,Cleffa,Wurmple
Uxie,Paras,Uxie
Mega Gallade,Manaphy,Mega Gallade
Samurott,Politoed,Politoed
Ducklett,Absol,Absol
Chikorita,Leafeon,Leafeon
Seadra,Wailord,Seadra
Emolga,Budew,Emolga
Feraligatr,Cascoon,Feraligatr
Escavalier,Vigoroth,Escavalier
Doublade,Inkay,Inkay
Moltres,Salamence,Salamence
Pangoro,Probopass,Pangoro
Growlithe,Kabutops,Kabutops
Frillish,Mega Mewtwo X,Frillish
Dedenne,Zekrom,Dedenne
Charmeleon,Latias,Latias
Unfezant,Salamence,Salamence
Doduo,Aron,Aron
Larvitar,Ralts,Larvitar
Tornadus Therian Forme,Ledian,Tornadus Therian Forme
Illumise,Snorlax,Snorlax
Meloetta Pirouette Forme,Prinplup,Meloetta Pirouette Forme
Graveler,Grimer,Graveler
Masquerain,Fletchling,Fletchling
  Farfetch'd  ,Wailmer,Wailmer
Druddigon,Gulpin,Druddigon
Bayleef,Huntail,Bayleef
Carracosta,Basculin,Basculin
Azurill,Mow Rotom,Mow Rotom
Dratini,Jumpluff,Jumpluff
Kricketune,Skiploom,Skiploom
Kangaskhan,Drowzee,Kangaskhan
Gliscor,Makuhita,Gliscor
Sewaddle,Volcarona,Volcarona
Swampert,Snubbull,Swampert
Lotad,Kirlia,Kirlia
Happiny,Lucario,Lucario
Simisage,Suicune,Simisage
Fearow,Phione,Fearow
Mega Houndoom,Reuniclus,Mega Houndoom
Trevenant,Linoone,Linoone
Gourgeist Small Size,Basculin,Gourgeist Small Size
Mega Aerodactyl,Abomasnow,Mega Aerodactyl
Reshiram,Steelix,Reshiram
Mega Scizor,Tauros,Tauros
Cherubi,Shaymin Land Forme,Shaymin Land Forme
Mega Pidgeot,Dugtrio,Mega Pidgeot
Zebstrika,Krookodile,Krookodile
Chatot,Palkia,Palkia
Darumaka,Sandslash,Sandslash
Frillish,Torkoal,Torkoal
Binacle,Staravia,Staravia
Bisharp,Luvdisc,Bisharp
Deerling,Meowstic Male,Meowstic Male
Giratina Origin Forme,Ledian,Giratina Origin Forme
Emboar,Sawk,Sawk
Garbodor,Deoxys Speed Forme,Deoxys Speed Forme
Shinx,Durant,Durant
Hippowdon,Roserade,Roserade
Accelgor,Masquerain,Accelgor
Deerling,Herdier,Deerling
Ducklett,Venipede,Venipede
Boldore,Inkay,Inkay
Walrein,Serperior,Serperior
Reshiram,Goodra,Reshiram
Squirtle,Mega Slowbro,Squirtle
Wormadam Sandy Cloak,Pidove,Pidove
Misdreavus,Ambipom,Ambipom
Druddigon,Dratini,Dratini
Conkeldurr,Mienfoo,Mienfoo
Chingling,Tranquill,Tranquill
Bergmite,Noctowl,Noctowl
Mega Aerodactyl,Exploud,Mega Aerodactyl
Snubbull,Mega Gengar,Mega Gengar
Probopass,Ivysaur,Ivysaur
Heracross,Mega Alakazam,Heracross
Misdreavus,Lumineon,Lumineon
Vanillish,Registeel,Vanillish
Salamence,Electrode,Electrode
Scyther,Simipour,Scyther
Garbodor,Darmanitan Standard Mode,Darmanitan Standard Mode
Manaphy,Moltres,Manaphy
Jirachi,Spoink,Jirachi
Binacle,Clamperl,Binacle
Carracosta,Drifloon,Carracosta
Huntail,Roselia,Roselia
Krabby,Foongus,Krabby
Gible,Misdreavus,Misdreavus
Sunflora,Rufflet,Rufflet
Mega Charizard X,Alomomola,Mega Charizard X
Vivillon,Frogadier,Frogadier
Pignite,Torchic,Pignite
Gloom,Shellos,Gloom
Stoutland,Mega Camerupt,Stoutland
Ninetales,Metapod,Ninetales
Spiritomb,Beldum,Spiritomb
Galvantula,Barbaracle,Galvantula
Mega Abomasnow,Lopunny,Mega Abomasnow
Shroomish,Mega Pinsir,Mega Pinsir
Zekrom,Barbaracle,Zekrom
Mega Abomasnow,Furfrou,Furfrou
Mega Garchomp,Dragonite,Dragonite
Fletchling,Rotom,Rotom
Igglybuff,Nidoran♀,Nidoran♀
Monferno,Cottonee,Monferno
Litwick,Wingull,Wingull
Illumise,Kabuto,Illumise
Snorlax,Noibat,Snorlax
Watchog,Nidoran♂,Watchog
Illumise,Mawile,Illumise
Zorua,Toxicroak,Toxicroak
Staryu,Unfezant,Unfezant
Meloetta Pirouette Forme,Fennekin,Meloetta Pirouette Forme
Emolga,Pelipper,Emolga
Mega Altaria,Ledyba,Mega Altaria
Duosion,Mega Beedrill,Mega Beedrill
Bayleef,Torchic,Bayleef
Vullaby,Landorus Therian Forme,Landorus Therian Forme
Butterfree,Nidorino,Butterfree
Mienshao,Meditite,Mienshao
Lumineon,Mega Mewtwo X,Mega Mewtwo X
Porygon2,Shinx,Porygon2
Butterfree,Wailord,Butterfree
Gourgeist Small Size,Zygarde Half Forme,Gourgeist Small Size
Sliggoo,Heracross,Heracross
Mega Heracross,Pansage,Mega Heracross
Mega Kangaskhan,Tepig,Mega Kangaskhan
Staraptor,Escavalier,Staraptor
Helioptile,Simipour,Simipour
Roserade,Sneasel,Sneasel
Kakuna,Tirtouga,Tirtouga
Spewpa,Sealeo,Sealeo
Cinccino,Slowpoke,Cinccino
Dwebble,Muk,Dwebble
Wobbuffet,Magmortar,Magmortar
Girafarig,Ferrothorn,Ferrothorn
Noctowl,Swoobat,Swoobat
Bronzor,Petilil,Petilil
Delcatty,Elekid,Elekid
Spinda,Mamoswine,Mamoswine
Huntail,Cryogonal,Cryogonal
Gothorita,Cubone,Gothorita
Lopunny,Mega Medicham,Lopunny
Weavile,Pumpkaboo Average Size,Weavile
Castform,Tynamo,Castform
Girafarig,Machoke,Girafarig
Golurk,Tauros,Tauros
Mr. Mime,Croconaw,Mr. Mime
Starmie,Malamar,Starmie
Shiftry,Plusle,Plusle
Blaziken,Frost Rotom,Frost Rotom
Wynaut,Herdier,Herdier
Mr. Mime,Mareep,Mr. Mime
Staraptor,Poochyena,Staraptor
Snover,Magmar,Magmar
Patrat,Tornadus Incarnate Forme,Tornadus Incarnate Forme
Misdreavus,Haunter,Haunter
Clawitzer,Vileplume,Clawitzer
Rapidash,Pupitar,Rapidash
Cacturne,Spoink,Spoink
Spheal,Uxie,Uxie
Pansage,Diggersby,Diggersby
Simisear,Unown,Simisear
Cherrim,Nidorina,Cherrim
Mega Pinsir,Bronzor,Mega Pinsir
Kricketune,Remoraid,Remoraid
Porygon,Golbat,Golbat
Skiddo,Rhydon,Skiddo
Swadloon,Fearow,Fearow
Reshiram,Ralts,Reshiram
Abomasnow,Elgyem,Abomasnow
Shroomish,Cherrim,Cherrim
Bellossom,Shuckle,Bellossom
Dewgong,Bibarel,Bibarel
Cascoon,Mienshao,Mienshao
Mightyena,Delcatty,Delcatty
Kyurem White Kyurem,Glaceon,Kyurem White Kyurem
Purugly,Manaphy,Purugly
Kyurem White Kyurem,Skiddo,Kyurem White Kyurem
Octillery,Claydol,Claydol
Politoed,Skorupi,Politoed
Aggron,Meowth,Aggron
Venonat,Delibird,Delibird
Chesnaught,Flabébé,Chesnaught
Woobat,Dugtrio,Dugtrio
Mega Glalie,Chimecho,Mega Glalie
Rampardos,Patrat,Rampardos
Porygon-Z,Milotic,Porygon-Z
Latias,Tyrunt,Latias
Meowstic Female,Duosion,Meowstic Female
Lampent,Mega Blastoise,Mega Blastoise
Samurott,Mega Sceptile,Mega Sceptile
Slurpuff,Purrloin,Slurpuff
Rampardos,Yanmega,Yanmega
Paras,Watchog,Watchog
Florges,Geodude,Florges
Mime Jr.,Linoone,Linoone
Prinplup,Piplup,Prinplup
Phanpy,Cyndaquil,Cyndaquil
Gourgeist Super Size,Nuzleaf,Nuzleaf
Pancham,Mantine,Mantine
Ledian,Kyurem,Kyurem
Cobalion,Buizel,Cobalion
Frost Rotom,Natu,Frost Rotom
Azurill,Slowking,Slowking
Metagross,Musharna,Metagross
Mega Sharpedo,Magcargo,Mega Sharpedo
Pansear,Meowth,Meowth
Eelektrik,Gastly,Eelektrik
Leavanny,Kyogre,Leavanny
Nidoran♂,Shelgon,Shelgon
Wooper,Hoopa Unbound,Hoopa Unbound
Mega Pinsir,Mesprit,Mega Pinsir
Mega Lopunny,Lickitung,Mega Lopunny
Masquerain,Riolu,Riolu
Pinsir,Gligar,Gligar
Sandslash,Porygon-Z,Porygon-Z
Octillery,Bunnelby,Bunnelby
Buizel,Crawdaunt,Buizel
Goodra,Misdreavus,Misdreavus
Braixen,Frogadier,Frogadier
Bulbasaur,Heliolisk,Heliolisk
Beheeyem,Emboar,Emboar
Vibrava,Mismagius,Mismagius
Cottonee,Volbeat,Volbeat
Sawk,Beartic,Sawk
Groudon,Litleo,Groudon
Mothim,Meganium,Meganium
Kricketot,Corphish,Corphish
Huntail,Mega Houndoom,Mega Houndoom
Shinx,Tangrowth,Tangrowth
Vanillish,Wormadam Trash Cloak,Vanillish
Darumaka,Excadrill,Excadrill
Phanpy,Mesprit,Mesprit
Diglett,Mega Pinsir,Mega Pinsir
Primal Kyogre,Milotic,Primal Kyogre
Floatzel,Carnivine,Floatzel
Zebstrika,Gastly,Zebstrika
Raikou,Mega Mawile,Raikou
Sealeo,Murkrow,Murkrow
Klang,Hitmonlee,Hitmonlee
Diglett,Alomomola,Alomomola
Pignite,Minun,Pignite
Shaymin Sky Forme,Feebas,Shaymin Sky Forme
Hoopa Unbound,Terrakion,Terrakion
Carbink,Durant,Durant
Emolga,Weedle,Emolga
Mega Mawile,Bronzong,Mega Mawile
Misdreavus,Roggenrola,Misdreavus
Espurr,Suicune,Suicune
Phantump,Floatzel,Floatzel
Persian,Mega Diancie,Persian
